Bars, Displacements, Ultimate - Load case: DeadLoad
Bar	x	ex'	ey'	ez'	φ x'	φ y'	φ z'	Case
[-]	[m]	[m]	[m]	[m]	[°]	[°]	[°]	[-]
B.6.1	3.075	-0.006	0.000	-0.003	0.000	0.019	0.000	IL
B.6.1	3.354	-0.006	0.000	-0.003	0.000	0.019	0.000	IL
B.6.1	3.354	-0.006	0.000	-0.003	0.000	0.019	0.000	IL
B.6.1	3.634	-0.007	0.000	-0.003	0.000	0.019	0.000	IL
B.6.1	3.913	-0.007	0.000	-0.003	0.000	0.019	0.000	IL
B.6.1	4.193	-0.007	0.000	-0.003	0.000	0.019	0.000	IL
B.6.1	4.472	-0.007	0.000	-0.004	0.000	0.019	0.000	IL
B.7.1	0.000	0.007	0.000	-0.004	0.000	-0.019	0.000	IL
B.7.1	0.280	0.007	0.000	-0.003	0.000	-0.019	0.000	IL
B.7.1	0.559	0.007	0.000	-0.003	0.000	-0.019	0.000	IL
B.7.1	0.839	0.007	0.000	-0.003	0.000	-0.019	0.000	IL
B.7.1	1.118	0.006	0.000	-0.003	0.000	-0.019	0.000	IL
B.7.1	1.118	0.006	0.000	-0.003	0.000	-0.019	0.000	IL
B.7.1	1.398	0.006	0.000	-0.003	0.000	-0.019	0.000	IL
B.7.1	1.677	0.006	0.000	-0.003	0.000	-0.019	0.000	IL
B.7.1	1.957	0.006	0.000	-0.003	0.000	-0.019	0.000	IL
B.7.1	2.236	0.006	0.000	-0.003	0.000	-0.019	0.000	IL
B.7.1	2.236	0.006	0.000	-0.003	0.000	-0.019	0.000	IL
B.7.1	2.516	0.006	0.000	-0.003	0.000	-0.019	0.000	IL
B.7.1	2.795	0.006	0.000	-0.003	0.000	-0.019	0.000	IL
B.7.1	3.075	0.005	0.000	-0.003	0.000	-0.019	0.000	IL
B.7.1	3.354	0.005	0.000	-0.002	0.000	-0.019	0.000	IL
B.7.1	3.354	0.005	0.000	-0.002	0.000	-0.019	0.000	IL
B.7.1	3.634	0.005	0.000	-0.002	0.000	-0.019	0.000	IL
B.7.1	3.913	0.005	0.000	-0.002	0.000	-0.019	0.000	IL
B.7.1	4.193	0.005	0.000	-0.002	0.000	-0.019	0.000	IL
B.7.1	4.472	0.005	0.000	-0.002	0.000	-0.019	0.000	IL
B.8.1	0.000	-0.004	0.000	-0.002	0.000	-0.030	0.000	IL
B.8.1	0.280	-0.004	0.000	-0.002	0.000	-0.030	0.000	IL
B.8.1	0.559	-0.004	0.000	-0.002	0.000	-0.030	0.000	IL
B.8.1	0.839	-0.004	0.000	-0.002	0.000	-0.030	0.000	IL
B.8.1	1.118	-0.004	0.000	-0.002	0.000	-0.030	0.000	IL
B.8.1	1.118	-0.004	0.000	-0.002	0.000	-0.030	0.000	IL
B.8.1	1.398	-0.004	0.000	-0.002	0.000	-0.030	0.000	IL
B.8.1	1.677	-0.004	0.000	-0.002	0.000	-0.030	0.000	IL
B.8.1	1.957	-0.003	0.000	-0.001	0.000	-0.030	0.000	IL
B.8.1	2.236	-0.003	0.000	-0.001	0.000	-0.030	0.000	IL
B.8.1	2.236	-0.003	0.000	-0.001	0.000	-0.030	0.000	IL
B.8.1	2.516	-0.003	0.000	-0.001	0.000	-0.030	0.000	IL
B.8.1	2.795	-0.003	0.000	-0.001	0.000	-0.030	0.000	IL
B.8.1	3.075	-0.003	0.000	-0.001	0.000	-0.030	0.000	IL
B.8.1	3.354	-0.003	0.000	-0.001	0.000	-0.030	0.000	IL
B.8.1	3.354	-0.003	0.000	-0.001	0.000	-0.030	0.000	IL
B.8.1	3.634	-0.002	0.000	-0.001	0.000	-0.030	0.000	IL
B.8.1	3.913	-0.002	0.000	-0.000	0.000	-0.030	0.000	IL
B.8.1	4.193	-0.002	0.000	-0.000	0.000	-0.030	0.000	IL
B.8.1	4.472	-0.002	0.000	-0.000	0.000	-0.030	0.000	IL

